Type,Aggregated category,Year,Tonnes diverted,Tonnes disposed
Operational,"Organics - food, compostable packaging",2013-2014,459,51
Operational,Recyclable mixed paper,2013-2014,561.36,0
Operational,"Recyclable & returnable containers - cans, bottles/glass, metal, plastic",2013-2014,161.25,0
Operational,Recyclable cardboard,2013-2014,447.7,0
Operational,"E-waste, lamps, bulbs and batteries",2013-2014,35.63,0
Operational,Wood waste (primarily non-construction),2013-2014,394.4,158.6
Operational,Other recyclables,2013-2014,39.4,0
Operational,Landscaping green waste,2013-2014,100,0
Operational,Non-recyclable,2013-2014,0,3096.92
C&D,"Construction waste managed by Building Operations (metal, gypsum, concrete etc)",2013-2014,1632.01,0
C&D,"Other construction waste (UBCPT, privately contracted)",2013-2014,1561.1,391.92
Overall,Overall,2013-2014,5391.85,3698.44
Operational,"Organics - food, compostable packaging",2014-2015,547.77,41.23
Operational,Recyclable mixed paper,2014-2015,489.46,0
Operational,"Recyclable & returnable containers - cans, bottles/glass, metal, plastic",2014-2015,180.09,0
Operational,Recyclable cardboard,2014-2015,416.55,0
Operational,"E-waste, lamps, bulbs and batteries",2014-2015,99.17,3.59
Operational,Wood waste (primarily non-construction),2014-2015,258.32,198.58
Operational,Other recyclables,2014-2015,42.77,49.08
Operational,Landscaping green waste,2014-2015,535.61,0
Operational,Non-recyclable,2014-2015,0,3307.38
C&D,"Construction waste managed by Building Operations (metal, gypsum, concrete etc)",2014-2015,32.3,0
C&D,"Other construction waste (UBCPT, privately contracted)",2014-2015,3971,239
Overall,Overall,2014-2015,6573.05,3838.87
Operational,"Organics - food, compostable packaging",2015-2016,811.65,33.82
Operational,Recyclable mixed paper,2015-2016,471.8,0
Operational,"Recyclable & returnable containers - cans, bottles/glass, metal, plastic",2015-2016,212.87,0
Operational,Recyclable cardboard,2015-2016,438.07,0
Operational,"E-waste, lamps, bulbs and batteries",2015-2016,89.66,0.07
Operational,Wood waste (primarily non-construction),2015-2016,210.9,179.82
Operational,Other recyclables,2015-2016,69.99,0
Operational,Landscaping green waste,2015-2016,110.86,0
Operational,Non-recyclable,2015-2016,22.86,2973.84
C&D,"Construction waste managed by Building Operations (metal, gypsum, concrete etc)",2015-2016,757.83,0
