Aggregated category,Individual categories,Year,Tonnes generated,Tonnes recycled,Tonnes disposed
"Organics - food, compostable packaging, leaves & yard waste",Food Scraps with Soiled Paper,2020-2021,240,240,0
"Organics - food, compostable packaging, leaves & yard waste",Leaves and Yard Waste,2020-2021,569,569,0
Paper,Mixed Paper,2020-2021,151.76,151.76,0
Paper,Mixed OPF (clean office paper),2020-2021,25.53,25.53,0
Paper,Shredded,2020-2021,6.97,6.97,0
Recyclable containers,Rigid Mixed Containers,2020-2021,108.8,108.8,0
Recyclable cardboard,Corrugated Containers,2020-2021,219.97,219.97,0
"E-waste, lamps, bulbs and batteries",E-waste - Monitors and Computers,2020-2021,6.04,6.04,0
"E-waste, lamps, bulbs and batteries",E-waste - Peripherals & Other Electronics,2020-2021,36.16,36.06,0.1
"E-waste, lamps, bulbs and batteries",E-waste - Non-Building Operations Mixed E-waste,2020-2021,1.54,1.54,0
"E-waste, lamps, bulbs and batteries",Lamps & bulbs,2020-2021,3.57,3.57,0
"E-waste, lamps, bulbs and batteries",Batteries - small,2020-2021,1.51,1.51,0
"E-waste, lamps, bulbs and batteries",Batteries - large/other,2020-2021,2.2,2.2,0
"Construction materials including wood, gypsum, metal & concrete",Clean and select wood,2020-2021,126.18,123.03,3.15
"Construction materials including wood, gypsum, metal & concrete",Mixed demolition & land clearing,2020-2021,58.02,0,58.02
"Construction materials including wood, gypsum, metal & concrete",Gypsum,2020-2021,8.06,8.06,0
"Construction materials including wood, gypsum, metal & concrete",Metal,2020-2021,110.58,110.58,0
"Construction materials including wood, gypsum, metal & concrete",Concrete,2020-2021,0,0,0
Other recyclables,Styrofoam,2020-2021,4.94,4.94,0
Other recyclables,Soft plastic,2020-2021,0,0,0
Other recyclables,Furniture/mixed waste,2020-2021,0,0,0
Other recyclables,Nitrile gloves,2020-2021,0.57,0.57,0
Other recyclables,Mattresses - Canadian Mattress Recycling Inc.,2020-2021,18.51,18.51,0
Other recyclables,Small appliances,2020-2021,0,0,0
Other recyclables,Large appliances,2020-2021,0,0,0
Other recyclables,Tires,2020-2021,3.95,3.95,0
Other recyclables,Cooking Oil,2020-2021,6.77,6.16,0.61
Other recyclables,Lab glass,2020-2021,0.96,0.96,0
Non-recyclables,Garbage,2020-2021,1791.82,0,1791.82
Non-recyclables,General refuse - Cascades,2020-2021,0.24,0,0.24
Non-recyclables,Arena Garbage Compactor,2020-2021,4.31,0,4.31
Non-recyclables,"Biohazardous, lab, chemical, pharma, solvent",2020-2021,30.2,0,30.2
Non-recyclables,Delisted Waste,2020-2021,19.68,0,19.68
Non-recyclables,Ash from BRDF,2020-2021,0,0,0
Non-recyclables,"Paint, oil, silver recovery, solvent recovery",2020-2021,2.24,2.24,0
Non-recyclables,Animal waste and bedding,2020-2021,79.93,0,79.93
"Organics - food, compostable packaging, leaves & yard waste",Food Scraps with Soiled Paper,2019-2020,615,615,0
"Organics - food, compostable packaging, leaves & yard waste",Leaves and Yard Waste,2019-2020,440,440,0
Paper,Mixed Paper,2019-2020,226.78,226.78,0
Paper,Mixed OPF (clean office paper),2019-2020,113.96,113.96,0
Paper,Shredded,2019-2020,42.5,42.5,0
Recyclable containers,Rigid Mixed Containers,2019-2020,296.02,296.02,0
Recyclable cardboard,Corrugated Containers,2019-2020,493.13,493.13,0
"E-waste, lamps, bulbs and batteries",E-waste - Monitors and Computers,2019-2020,21.27,21.27,0
"E-waste, lamps, bulbs and batteries",E-waste - Peripherals & Other Electronics,2019-2020,43.56,43.4,0.16
"E-waste, lamps, bulbs and batteries",E-waste - Non-Building Operations Mixed E-waste,2019-2020,3.92,3.92,0
"E-waste, lamps, bulbs and batteries",Lamps & bulbs,2019-2020,10.38,10.38,0
"E-waste, lamps, bulbs and batteries",Batteries - small,2019-2020,3.41,3.41,0
"E-waste, lamps, bulbs and batteries",Batteries - large/other,2019-2020,0,0,0
"Construction materials including wood, gypsum, metal & concrete",Grades 1&2 Wood,2019-2020,238.19,225.09,13.1
"Construction materials including wood, gypsum, metal & concrete",Grade 3 Wood,2019-2020,5.5,2.42,3.08
"Construction materials including wood, gypsum, metal & concrete",Gypsum,2019-2020,10.81,10.81,0
"Construction materials including wood, gypsum, metal & concrete",Metal,2019-2020,161.8,161.8,0
"Construction materials including wood, gypsum, metal & concrete",Concrete,2019-2020,0,0,0
Other recyclables,Styrofoam,2019-2020,6.06,6.06,0
Other recyclables,Soft plastic,2019-2020,0,0,0
Other recyclables,Furniture/mixed waste,2019-2020,0,0,0
Other recyclables,Mattresses - Other Recyclers,2019-2020,0,0,0
Other recyclables,Mattresses - Canadian Mattress Recycling Inc.,2019-2020,19.54,19.54,0
Other recyclables,Small appliances,2019-2020,0,0,0
Other recyclables,Large appliances,2019-2020,0,0,0
Other recyclables,Tires,2019-2020,3.6,3.6,0
Other recyclables,Cooking Oil,2019-2020,20.56,17.96,2.61
Other recyclables,Lab glass,2019-2020,0.98,0.98,0
Non-recyclables,Garbage,2019-2020,3033.35,0,3033.35
Non-recyclables,General refuse - Cascades,2019-2020,2.61,0,2.61
Non-recyclables,Arena Garbage Compactor,2019-2020,17.19,0,17.19
Non-recyclables,"Biohazardous, lab, chemical, pharma, solvent",2019-2020,44.84,0,44.84
Non-recyclables,Delisted Waste,2019-2020,27.32,0,27.32
Non-recyclables,Ash from BRDF,2019-2020,40.28,0,40.28
Non-recyclables,"Paint, oil, silver recovery, solvent recovery",2019-2020,4.49,4.49,0
Non-recyclables,Animal waste and bedding,2019-2020,138.19,0,138.19
"Organics - food, compostable packaging, leaves & yard waste",Food Scraps with Soiled Paper,2018-2019,600,600,0
"Organics - food, compostable packaging, leaves & yard waste",Leaves and Yard Waste,2018-2019,630,630,0
Paper,Mixed Paper,2018-2019,216.3,216.3,0
Paper,Mixed OPF (clean office paper),2018-2019,144.75,144.75,0
Paper,Shredded,2018-2019,47.75,47.75,0
Recyclable containers,Rigid Mixed Containers,2018-2019,272.24,272.24,0
Recyclable cardboard,Corrugated Containers,2018-2019,504.95,504.95,0
"E-waste, lamps, bulbs and batteries",E-waste - Monitors and Computers,2018-2019,24.4,24.4,0
"E-waste, lamps, bulbs and batteries",E-waste - Peripherals & Other Electronics,2018-2019,43.5,43.5,0
"E-waste, lamps, bulbs and batteries",E-waste - Non-Building Operations Mixed E-waste,2018-2019,6.15,6.15,0
"E-waste, lamps, bulbs and batteries",Lamps & bulbs,2018-2019,5.79,5.7,0.09
"E-waste, lamps, bulbs and batteries",Batteries,2018-2019,7.9,7.9,0
"Construction materials including wood, gypsum, metal & concrete",Grades 1&2 Wood,2018-2019,144.9,136.93,7.97
"Construction materials including wood, gypsum, metal & concrete",Grade 3 Wood,2018-2019,28.8,12.67,16.13
"Construction materials including wood, gypsum, metal & concrete",Gypsum,2018-2019,6.2,6.2,0
"Construction materials including wood, gypsum, metal & concrete",Metal,2018-2019,153.98,153.98,0
"Construction materials including wood, gypsum, metal & concrete",Concrete,2018-2019,0,0,0
Other recyclables,Styrofoam,2018-2019,5.7,5.7,0
Other recyclables,Soft plastic,2018-2019,0,0,0
Other recyclables,Furniture/mixed waste,2018-2019,0,0,0
Other recyclables,Mattresses - Other Recyclers,2018-2019,0,0,0
Other recyclables,Mattresses - Canadian Mattress Recycling Inc.,2018-2019,18.73,18.73,0
Other recyclables,Small appliances,2018-2019,0,0,0
Other recyclables,Large appliances,2018-2019,0,0,0
Other recyclables,Tires,2018-2019,3.17,3.17,0
Other recyclables,Cooking Oil,2018-2019,19.2,16.51,2.69
Other recyclables,Lab glass,2018-2019,0.92,0.92,0
Non-recyclables,Garbage,2018-2019,3116.92,0,3116.92
Non-recyclables,General refuse - Cascades,2018-2019,2.73,0,2.73
Non-recyclables,Arena Garbage Compactor,2018-2019,34.2,0,34.2
Non-recyclables,"Biohazardous, lab, chemical, pharma, solvent",2018-2019,55.2,0,55.2
Non-recyclables,Delisted Waste,2018-2019,25.2,0,25.2
Non-recyclables,Ash from BRDF,2018-2019,69.9,0,69.9
Non-recyclables,"Paint, oil, silver recovery, solvent recovery",2018-2019,7.08,7.08,0
Non-recyclables,Animal waste and bedding,2018-2019,126.92,0,126.92
"Organics - food, compostable packaging, leaves & yard waste",Food Scraps with Soiled Paper,2017-2018,966,876,90
"Organics - food, compostable packaging, leaves & yard waste",Leaves and Yard Waste,2017-2018,785,785,0
Paper,Mixed Paper,2017-2018,193,193,0
Paper,Mixed OPF (clean office paper),2017-2018,200,200,0
Paper,Shredded,2017-2018,45.1,45.1,0
Recyclable containers,Rigid Mixed Containers,2017-2018,247,247,0
Recyclable cardboard,Corrugated Containers,2017-2018,485,485,0
"E-waste, lamps, bulbs and batteries",E-waste - Monitors and Computers,2017-2018,20.5,20.5,0
"E-waste, lamps, bulbs and batteries",E-waste - Peripherals & Other Electronics,2017-2018,32.3,32.3,0
"E-waste, lamps, bulbs and batteries",E-waste - Non-Building Operations Mixed E-waste,2017-2018,5.66,5.66,0
"E-waste, lamps, bulbs and batteries",Lamps & bulbs,2017-2018,8.8,8.67,0.13
"E-waste, lamps, bulbs and batteries",Batteries,2017-2018,7.35,7.35,0
"Construction materials including wood, gypsum, metal & concrete",Grades 1&2 Wood,2017-2018,253.19,210.15,43.04
"Construction materials including wood, gypsum, metal & concrete",Grade 3 Wood,2017-2018,179.91,35.98,143.93
"Construction materials including wood, gypsum, metal & concrete",Gypsum,2017-2018,6.13,6.13,0
"Construction materials including wood, gypsum, metal & concrete",Metal,2017-2018,159.3,159.3,0
"Construction materials including wood, gypsum, metal & concrete",Concrete,2017-2018,0,0,0
Other recyclables,Styrofoam,2017-2018,5.5,5.5,0
