MODELLED WASTE GENERATION AND DIVERSION,,,,,,,,,,,
Year,2016-17,,,,,,,,,,
,,,,,,,,,,,
CORE BUILDINGS PLUS ATHLETICS,,,,,,,,,,,
Overall Waste Generation,,,,,,,,,,,
Building floor space,"  933,407 ",m2,(based on EWS campus energy model and Athletics data from ID),,,,,,,,
Overall generation rate:,3.5,kg/m2/yr,,,,,,,,,
,,,,,,,,,,,
Waste Generation & Diversion by Material,Generation makeup %,Generated tonnes/y,Diversion Rate,Diverted tonnes/y,Disposed tonnes/y,Disposed %,,,,,
"Organics - food, compostable packaging",40.0%,"  1,307 ",40%,  523 ,  784 ,46%,,,,,
Recyclable mixed paper,15.0%,  490 ,70%,  343 ,  147 ,9%,,,,,
Recyclable & returnable containers,6.0%,  196 ,60%,  118 ,  78 ,5%,,,,,
Recyclable cardboard,12.0%,  392 ,75%,  294 ,  98 ,6%,,,,,
"E-waste, lamps, bulbs and batteries",2.0%,  65 ,75%,  49 ,  16 ,1%,,,,,
Small reno construction materials,7.0%,  229 ,55%,  126 ,  103 ,6%,,,,,
"Other recyclables - styrofoam, mattresses, appliances, etc.",2.0%,  65 ,70%,  46 ,  20 ,1%,,,,,
Landscaping green waste,2.0%,  65 ,100%,  65 , -,0%,,,,,
Non-recyclable/garbage,14%,  457 ,0%,,  457 ,27%,,,,,
Subtotal,100%,"  3,267 ",48%,"  1,563 ","  1,704 ",100%,,,,,
,,,,,,,,,,,
STUDENT HOUSING,,,,,,,,,,,
Overall Waste Generation,,,,,,,,,,,
Number of units,"  10,000 ",residents,(based on EWS campus energy model),,,,,,,,
Occupancy factor,  0.75 ,,,,,,,,,,
Overall generation rate:,320.0,kg/cap/y,for full time occupancy; similar to Metro Vancouver figure for multi-family buildings,,,,,,,,
,,,,,,,,,,,
Waste Generation & Diversion by Material,Generation makeup %,Generated tonnes/y,Diversion Rate,Diverted tonnes/y,Disposed tonnes/y,Disposed %,,,,,
"Organics - food, compostable packaging",50.0%,"  1,200 ",30%,  360 ,  840 ,56.7%,,Low recovery in SH suite style may be balanced by higher recovery in dorm style via dining halls,,,
Recyclable mixed paper,10.0%,  240 ,65%,  156 ,  84 ,5.7%,,,,,
Recyclable & returnable containers,6.0%,  144 ,60%,  86 ,  58 ,3.9%,,,,,
Recyclable cardboard,7.0%,  168 ,65%,  109 ,  59 ,4.0%,,,,,
"E-waste, lamps, bulbs and batteries",2.0%,  48 ,70%,  34 ,  14 ,1.0%,,,,,
Small reno construction materials,7.0%,  168 ,55%,  92 ,  76 ,5.1%,,,,,
"Other recyclables - styrofoam, mattresses, appliances, etc.",2.0%,  48 ,70%,  34 ,  14 ,1.0%,,,,,
Landscaping green waste,2.0%,  48 ,100%,  48 , -,0.0%,,,,,
Non-recyclable/garbage,14%,  336 ,0%,,  336 ,22.7%,,,,,
Subtotal,100%,"  2,400 ",38%,  919 ,"  1,481 ",100%,,,,,
,,,,,,,,,,,
CORE PLUS ANCILLARY BUILDINGS,,,,,,,,MEASURED*,,,
,Generation makeup %,Generated tonnes/y,Diversion Rate,Diverted tonnes/y,Disposed tonnes/y,Disposed %,,Total tonnes/y,Calculated recovery rate,Diverted tonnes/y,Disposed tonnes/y
"Organics - food, compostable packaging",44%,"  2,507 ",35%,  883 ,"  1,624 ",,,  845 ,33%,812,  34 
Recyclable mixed paper,13%,  730 ,68%,  499 ,  231 ,,,  472 ,65%,472, -
Recyclable & returnable containers,6%,  340 ,60%,  204 ,  136 ,,,  213 ,63%,213, -
Recyclable cardboard,10%,  560 ,72%,  403 ,  157 ,,,  438 ,79%,438, -
"E-waste, lamps, bulbs and batteries",2%,  113 ,73%,  83 ,  31 ,,,  90 ,80%,90,  -   
Small reno construction materials,7%,  397 ,55%,  218 ,  179 ,,,  391 ,54%,211,  180 
"Other recyclables - styrofoam, mattresses, appliances, etc.",2%,  113 ,70%,  79 ,  34 ,,,  70 ,62%,70, -
Landscaping green waste,2%,  113 ,100%,  113 , -,,,  111 ,99%,111, -
Non-recyclable/garbage,14%,  793 ,0%, -,  793 ,,,"  2,997 ",,23,"  2,974 "
Total,100%,"  5,667 ",44%,"  2,482 ","  3,185 ",,,"  5,626 ",43%,2439,"  3,188 "
,,,,,,,,,,,
Observations:,,,,,,,,,,,
"1. To make the numbers align, both makeup and diversion can be adjusted. A higher proportion of non-recyclable means less recyclables generated, and higher recyclables diversion rates. 
2. Non-recyclable waste appears higher than expected, compared with the earlier waste audits. This may be from faculties and include furniture, etc. However the actual percentage is unknown. 
3. Some recent audits are from sort it out stations which does not reflect everything from a building. ",,,,,,,,,,,
