Year,Month,Mixed paper,Corrugated cardboard,Office paper,Containers (RMC),Refuse (ICI Waste),"Total (excluding ""Refuse"")"
2014-2015,Apr,0,0,0,0,0,0
2014-2015,May,0,0,0,0,0,0
2014-2015,Jun,0,0,0,0,0,0
2014-2015,Jul,0,0,0,0,0,0
2014-2015,Aug,7.73,37.77,27.39,11.6,0,84.49
2014-2015,Sep,11.7,37.74,29.38,18.51,0,97.33
2014-2015,Oct,9.1,44.62,29.62,18.65,0,101.99
2014-2015,Nov,8.01,40.19,24.26,17.15,0,89.61
2014-2015,Dec,20.02,37.33,13.86,13,0,84.21
2014-2015,Jan,14.13,31.11,25.66,15.74,0,86.64
2014-2015,Feb,8.84,32.76,27.93,14.74,0,84.27
2014-2015,Mar,10.55,40.57,23.71,17.51,1.88,92.34
2014-2015,Total,90.08,302.09,201.81,126.9,1.88,720.88
2015-2016,Apr,17.08,37.32,21.83,19.01,0,95.24
2015-2016,May,11.5,25.39,25.78,12.7,0,75.37
2015-2016,Jun,9.18,23.04,26.35,11.45,0,70.02
2015-2016,Jul,12.18,27.93,27.01,10.84,0,77.96
2015-2016,Aug,14.91,33.04,16.83,10.62,0,75.4
2015-2016,Sep,10.56,42.09,25.95,17.62,1.08,96.22
2015-2016,Oct,11.01,36.17,23.17,23.32,0,93.67
2015-2016,Nov,11.59,45.83,21.72,21.72,0,100.86
2015-2016,Dec,12.13,29.54,26.34,18.75,0,86.76
2015-2016,Jan,8.3,53.29,30.07,19.35,0,111.01
2015-2016,Feb,8.44,32.2,27.04,21.18,0,88.86
2015-2016,Mar,10.31,52.23,25.23,26.31,0,114.08
2015-2016,Total,137.19,438.07,297.32,212.87,1.08,1085.45
2016-2017,Apr,17.25,39.75,27.91,26.17,0,111.08
2016-2017,May,15.89,26.27,21.49,17.01,0,80.66
2016-2017,Jun,10.71,26.44,21.92,13.24,0,72.31
2016-2017,Jul,8.69,34.08,21.88,13.46,0,78.11
2016-2017,Aug,9.3,33.63,22.81,14.66,0,80.4
2016-2017,Sep,14.97,55.19,20.08,23.46,0,113.7
2016-2017,Oct,13.71,42.6,15.69,24.8,0.15,96.8
2016-2017,Nov,14,45.12,20,20,0,99.12
2016-2017,Dec,12.36,25.1,18.43,20.09,0,75.98
2016-2017,Jan,18.76,48.42,15.26,19.55,0,101.99
2016-2017,Feb,15.54,39.04,14.99,21.03,0,90.6
2016-2017,Mar,16.68,40.11,15.92,25.74,0,98.45
2016-2017,Total,167.86,455.75,236.38,239.21,0.15,1099.2
2017-2018,Apr,25.16,37.27,13.87,23.58,0,99.88
2017-2018,May,20.13,30.58,12.83,14.22,0,77.76
2017-2018,Jun,15.78,26.4,13.6,13.68,0,69.46
2017-2018,Jul,14.42,30.92,17.5,15.53,0,78.37
2017-2018,Aug,20.77,43.1,16.15,16.67,0,96.69
2017-2018,Sep,15.11,55.78,18.9,25.42,0.1,115.21
2017-2018,Oct,12.76,47.88,19.05,28,0,107.69
2017-2018,Nov,12.36,43.88,21.14,25.56,0,102.94
2017-2018,Dec,13.03,40.99,16.07,17.35,0,87.44
2017-2018,Jan,13.11,37.33,22.74,22.4,0,95.58
2017-2018,Feb,12.98,44.16,13,18.34,0,88.48
2017-2018,Mar,17.02,46.77,15.44,26.1,0,105.33
2017-2018,Total,192.63,485.06,200.29,246.85,0.1,1124.83
2018-2019,Apr,18,44.75,1.67,24.84,0,89.26
2018-2019,May,22.48,34.02,13.72,14.28,0,84.5
2018-2019,Jun,14,28.76,15.46,15.79,0.19,74.01
